llm,nrc,count
anger,anger,6
anger,anticipation,25
anger,disgust,1
anger,fear,5
anger,joy,1
anger,sadness,3
anger,surprise,1
anger,trust,4
anger,none,5
anticipation,anger,0
anticipation,anticipation,1
anticipation,disgust,0
anticipation,fear,0
anticipation,joy,0
anticipation,sadness,0
anticipation,surprise,0
anticipation,trust,0
anticipation,none,0
disgust,anger,2
disgust,anticipation,3
disgust,disgust,1
disgust,fear,0
disgust,joy,1
disgust,sadness,0
disgust,surprise,1
disgust,trust,1
disgust,none,1
fear,anger,0
fear,anticipation,1
fear,disgust,0
fear,fear,0
fear,joy,0
fear,sadness,0
fear,surprise,0
fear,trust,0
fear,none,0
joy,anger,1
joy,anticipation,25
joy,disgust,0
joy,fear,1
joy,joy,8
joy,sadness,0
joy,surprise,1
joy,trust,0
joy,none,8
sadness,anger,1
sadness,anticipation,3
sadness,disgust,0
sadness,fear,0
sadness,joy,0
sadness,sadness,1
sadness,surprise,0
sadness,trust,0
sadness,none,0
surprise,anger,0
surprise,anticipation,1
surprise,disgust,0
surprise,fear,0
surprise,joy,0
surprise,sadness,0
surprise,surprise,0
surprise,trust,0
surprise,none,0
trust,anger,1
trust,anticipation,3
trust,disgust,0
trust,fear,0
trust,joy,2
trust,sadness,1
trust,surprise,0
trust,trust,0
trust,none,0
none,anger,0
none,anticipation,15
none,disgust,1
none,fear,1
none,joy,0
none,sadness,0
none,surprise,0
none,trust,0
none,none,13
