llm,nrc,count
anger,anger,0
anger,anticipation,3
anger,disgust,0
anger,fear,0
anger,joy,1
anger,sadness,1
anger,surprise,0
anger,trust,1
anger,none,0
anticipation,anger,0
anticipation,anticipation,1
anticipation,disgust,0
anticipation,fear,0
anticipation,joy,0
anticipation,sadness,0
anticipation,surprise,0
anticipation,trust,0
anticipation,none,0
disgust,anger,0
disgust,anticipation,1
disgust,disgust,0
disgust,fear,0
disgust,joy,0
disgust,sadness,0
disgust,surprise,0
disgust,trust,0
disgust,none,0
fear,anger,0
fear,anticipation,0
fear,disgust,0
fear,fear,0
fear,joy,0
fear,sadness,0
fear,surprise,0
fear,trust,0
fear,none,0
joy,anger,2
joy,anticipation,38
joy,disgust,1
joy,fear,0
joy,joy,18
joy,sadness,0
joy,surprise,0
joy,trust,0
joy,none,10
sadness,anger,0
sadness,anticipation,0
sadness,disgust,0
sadness,fear,0
sadness,joy,0
sadness,sadness,0
sadness,surprise,0
sadness,trust,0
sadness,none,0
surprise,anger,0
surprise,anticipation,0
surprise,disgust,0
surprise,fear,0
surprise,joy,0
surprise,sadness,0
surprise,surprise,0
surprise,trust,0
surprise,none,0
trust,anger,0
trust,anticipation,9
trust,disgust,0
trust,fear,0
trust,joy,2
trust,sadness,0
trust,surprise,0
trust,trust,0
trust,none,2
none,anger,0
none,anticipation,7
none,disgust,0
none,fear,0
none,joy,0
none,sadness,0
none,surprise,0
none,trust,0
none,none,3
